Date,Open,High,Low,Close,Adj Close,Volume,BBL,BBM,BBH,BBB_30_2.0,BBP_30_2.0,RSI,atr,BB_WIDTH
2022-08-09 23:00:00,0.954,0.9543,0.9535,0.954,0.954,0.0,,,,,,,,
2022-08-10 00:00:00,0.9542,0.9545,0.9534,0.9542,0.9542,0.0,,,,,,,,
2022-08-10 01:00:00,0.9543,0.9543,0.9529,0.9533,0.9533,0.0,,,,,,,,
2022-08-10 02:00:00,0.9535,0.9537,0.9526,0.9534,0.9534,0.0,,,,,,,,
2022-08-10 03:00:00,0.9534,0.9537,0.9527,0.9536,0.9536,0.0,,,,,,,,
2022-08-10 04:00:00,0.9536,0.9538,0.9529,0.9537,0.9537,0.0,,,,,,,,
2022-08-10 05:00:00,0.9536,0.9541,0.9529,0.9536,0.9536,0.0,,,,,,,,
2022-08-10 06:00:00,0.9536,0.9538,0.9517,0.9523,0.9523,0.0,,,,,,,,
2022-08-10 07:00:00,0.9524,0.9525,0.9504,0.9512,0.9512,0.0,,,,,,,,
2022-08-10 08:00:00,0.9512,0.9525,0.9507,0.9517,0.9517,0.0,,,,,,,,
2022-08-10 09:00:00,0.9517,0.9519,0.9489,0.9499,0.9499,0.0,,,,,,,,
2022-08-10 10:00:00,0.9499,0.9502,0.9483,0.9489,0.9489,0.0,,,,,,,,
2022-08-10 11:00:00,0.949,0.9493,0.9474,0.9479,0.9479,0.0,,,,,,,,
2022-08-10 12:00:00,0.9479,0.9493,0.9403,0.943,0.943,0.0,,,,,,,,
2022-08-10 13:00:00,0.943,0.9438,0.9408,0.9415,0.9415,0.0,,,,,,5.0837,0.0026,
2022-08-10 14:00:00,0.9414,0.942,0.9393,0.9401,0.9401,0.0,,,,,,4.4895,0.0026,
2022-08-10 15:00:00,0.9401,0.9417,0.9388,0.941,0.941,0.0,,,,,,11.447,0.0026,
2022-08-10 16:00:00,0.9412,0.9421,0.9402,0.9405,0.9405,0.0,,,,,,10.9586,0.0026,
2022-08-10 17:00:00,0.9406,0.9412,0.9394,0.941,0.941,0.0,,,,,,14.8703,0.0025,
2022-08-10 18:00:00,0.941,0.9427,0.9406,0.9421,0.9421,0.0,,,,,,22.9623,0.0025,
2022-08-10 19:00:00,0.9421,0.9431,0.9418,0.9428,0.9428,0.0,,,,,,27.3823,0.0024,
2022-08-10 20:00:00,0.9428,0.9436,0.9422,0.9423,0.9423,0.0,,,,,,26.2283,0.0023,
2022-08-10 21:00:00,0.9426,0.943,0.9416,0.9423,0.9423,0.0,,,,,,26.2029,0.0022,
2022-08-10 22:00:00,0.9424,0.9427,0.9415,0.9422,0.9422,0.0,,,,,,25.8537,0.0021,
2022-08-10 23:00:00,0.9422,0.9427,0.9418,0.9424,0.9424,0.0,,,,,,28.0,0.002,
2022-08-11 00:00:00,0.9424,0.9429,0.9415,0.9426,0.9426,0.0,,,,,,29.5451,0.0019,
2022-08-11 01:00:00,0.9427,0.9436,0.9421,0.9434,0.9434,0.0,,,,,,35.4363,0.0019,
2022-08-11 02:00:00,0.9434,0.9442,0.9429,0.9442,0.9442,0.0,,,,,,41.0297,0.0019,
2022-08-11 03:00:00,0.9442,0.9445,0.943,0.9439,0.9439,0.0,,,,,,39.7166,0.0018,
2022-08-11 04:00:00,0.9439,0.9442,0.9428,0.9441,0.9441,0.0,0.9363,0.9466,0.9568,2.1607,0.381,41.5164,0.0018,0.0216
2022-08-11 05:00:00,0.9441,0.9446,0.943,0.9439,0.9439,0.0,0.9363,0.9462,0.9561,2.0893,0.3813,40.2231,0.0018,0.0209
2022-08-11 06:00:00,0.9439,0.9439,0.9406,0.9412,0.9412,0.0,0.9362,0.9458,0.9554,2.0266,0.2589,29.4956,0.0019,0.0203
2022-08-11 07:00:00,0.9412,0.9416,0.9395,0.9403,0.9403,0.0,0.936,0.9454,0.9547,1.9799,0.2303,27.0319,0.0019,0.0198
2022-08-11 08:00:00,0.9403,0.941,0.9388,0.9391,0.9391,0.0,0.9358,0.9449,0.954,1.9321,0.1848,24.062,0.0019,0.0193
2022-08-11 09:00:00,0.9391,0.9413,0.9385,0.9407,0.9407,0.0,0.9358,0.9445,0.9531,1.8323,0.2841,34.5041,0.002,0.0183
2022-08-11 10:00:00,0.9407,0.9418,0.9394,0.9414,0.9414,0.0,0.936,0.944,0.9521,1.6962,0.3323,38.1883,0.002,0.017
2022-08-11 11:00:00,0.9413,0.9415,0.9397,0.9403,0.9403,0.0,0.9363,0.9436,0.9509,1.5423,0.2705,34.587,0.002,0.0154
2022-08-11 12:00:00,0.9402,0.9405,0.9377,0.9384,0.9384,0.0,0.9364,0.9431,0.9499,1.4326,0.1473,29.4484,0.0021,0.0143
2022-08-11 13:00:00,0.9384,0.9389,0.9366,0.9375,0.9375,0.0,0.9363,0.9427,0.949,1.3485,0.0896,27.3421,0.0021,0.0135
2022-08-11 14:00:00,0.9374,0.9403,0.9366,0.9393,0.9393,0.0,0.9367,0.9423,0.9478,1.1713,0.2348,37.3171,0.0022,0.0117
2022-08-11 15:00:00,0.9393,0.9408,0.9386,0.9393,0.9393,0.0,0.9371,0.9419,0.9468,1.0282,0.2261,37.0838,0.0022,0.0103
2022-08-11 16:00:00,0.9393,0.9399,0.9383,0.9395,0.9395,0.0,0.9374,0.9416,0.9458,0.884,0.2478,38.3294,0.0022,0.0088
2022-08-11 17:00:00,0.9395,0.9413,0.9391,0.941,0.941,0.0,0.9379,0.9414,0.9448,0.7317,0.452,45.7516,0.0022,0.0073
2022-08-11 18:00:00,0.941,0.9423,0.9404,0.9418,0.9418,0.0,0.9379,0.9413,0.9447,0.7221,0.5745,49.1737,0.0021,0.0072
2022-08-11 19:00:00,0.9419,0.9421,0.9411,0.942,0.942,0.0,0.9379,0.9413,0.9448,0.7235,0.5884,49.6442,0.0021,0.0072
2022-08-11 20:00:00,0.942,0.9423,0.9403,0.9417,0.9417,0.0,0.938,0.9414,0.9448,0.7173,0.5444,48.5445,0.0021,0.0072
2022-08-11 21:00:00,0.9414,0.9418,0.9403,0.941,0.941,0.0,0.938,0.9414,0.9448,0.7173,0.4407,45.5053,0.002,0.0072
2022-08-11 22:00:00,0.9412,0.9415,0.9402,0.9411,0.9411,0.0,0.9381,0.9414,0.9448,0.7142,0.4524,46.0252,0.002,0.0071
2022-08-11 23:00:00,0.9412,0.9418,0.9409,0.9416,0.9416,0.0,0.9381,0.9414,0.9448,0.7135,0.518,48.4608,0.0019,0.0071
2022-08-12 00:00:00,0.9415,0.9426,0.9406,0.9418,0.9418,0.0,0.9381,0.9414,0.9448,0.7121,0.5525,49.6315,0.0019,0.0071
2022-08-12 01:00:00,0.9417,0.9423,0.9409,0.9422,0.9422,0.0,0.9381,0.9414,0.9447,0.7068,0.616,51.7763,0.0019,0.0071
2022-08-12 02:00:00,0.9422,0.9425,0.9414,0.9421,0.9421,0.0,0.9381,0.9414,0.9447,0.7057,0.6095,51.4815,0.0018,0.0071
2022-08-12 03:00:00,0.9421,0.9422,0.9409,0.9416,0.9416,0.0,0.9381,0.9414,0.9447,0.7024,0.5304,48.2252,0.0018,0.007
2022-08-12 04:00:00,0.9416,0.9418,0.9405,0.9416,0.9416,0.0,0.9381,0.9414,0.9447,0.7,0.5393,48.4804,0.0017,0.007
2022-08-12 05:00:00,0.9416,0.942,0.9404,0.9415,0.9415,0.0,0.9381,0.9413,0.9446,0.695,0.526,47.7206,0.0017,0.007
2022-08-12 06:00:00,0.9415,0.9423,0.9408,0.9421,0.9421,0.0,0.9381,0.9413,0.9446,0.6901,0.6167,51.6015,0.0017,0.0069
2022-08-12 07:00:00,0.9421,0.9427,0.9408,0.942,0.942,0.0,0.9381,0.9413,0.9444,0.6736,0.6219,51.3854,0.0017,0.0067
2022-08-12 08:00:00,0.942,0.9423,0.9404,0.9408,0.9408,0.0,0.9382,0.9412,0.9441,0.6344,0.4421,43.363,0.0017,0.0063
2022-08-12 09:00:00,0.9408,0.9425,0.9402,0.9423,0.9423,0.0,0.9383,0.9411,0.9439,0.6037,0.7022,52.6777,0.0018,0.006
2022-08-12 10:00:00,0.9423,0.9433,0.9416,0.9427,0.9427,0.0,0.9384,0.9411,0.9437,0.5696,0.809,55.2116,0.0018,0.0057
2022-08-12 11:00:00,0.9427,0.9434,0.9415,0.9425,0.9425,0.0,0.9385,0.941,0.9435,0.5365,0.7879,53.5339,0.0018,0.0054
2022-08-12 12:00:00,0.9425,0.9428,0.9405,0.9416,0.9416,0.0,0.9385,0.941,0.9436,0.5385,0.62,48.2874,0.0018,0.0054
2022-08-12 13:00:00,0.9416,0.9424,0.9404,0.9411,0.9411,0.0,0.9385,0.941,0.9436,0.5355,0.5026,45.024,0.0018,0.0054
2022-08-12 14:00:00,0.941,0.945,0.9407,0.9443,0.9443,0.0,0.9385,0.9412,0.9439,0.5676,1.073,61.0418,0.002,0.0057
2022-08-12 15:00:00,0.9443,0.9443,0.942,0.943,0.943,0.0,0.9386,0.9413,0.944,0.582,0.8113,54.2724,0.002,0.0058
