Date,Open,High,Low,Close,Adj Close,Volume,BBL,BBM,BBH,BBB_30_2.0,BBP_30_2.0,RSI,atr,BB_WIDTH
2011-01-03,81.14,81.709,81.12,81.123,81.123,0.0,,,,,,,,
2011-01-04,81.672,82.268,81.6,81.67,81.67,0.0,,,,,,,,
2011-01-05,82.01,83.32,81.883,82.038,82.038,0.0,,,,,,,,
2011-01-06,83.16,83.377,82.88,83.189,83.189,0.0,,,,,,,,
2011-01-07,83.27,83.658,82.948,83.3,83.3,0.0,,,,,,,,
2011-01-10,83.069,83.273,82.729,83.03,83.03,0.0,,,,,,,,
2011-01-11,82.73,83.483,82.73,82.71,82.71,0.0,,,,,,,,
2011-01-12,83.355,83.449,82.98,83.34,83.34,0.0,,,,,,,,
2011-01-13,83.09,83.14,82.566,83.07,83.07,0.0,,,,,,,,
2011-01-14,82.75,82.97,82.409,82.762,82.762,0.0,,,,,,,,
2011-01-17,82.889,82.994,82.349,82.887,82.887,0.0,,,,,,,,
2011-01-18,82.64,82.791,82.323,82.67,82.67,0.0,,,,,,,,
2011-01-19,82.617,82.678,82.009,82.612,82.612,0.0,,,,,,,,
2011-01-20,82.14,83.04,82.04,82.155,82.155,0.0,,,,,,,,
2011-01-21,82.934,83.079,82.52,82.92,82.92,0.0,,,,,,61.4983,0.8306,
2011-01-24,82.58,82.91,82.42,82.586,82.586,0.0,,,,,,55.7738,0.7954,
2011-01-25,82.535,82.643,82.272,82.542,82.542,0.0,,,,,,55.0468,0.7518,
2011-01-26,82.259,82.314,81.989,82.26,82.26,0.0,,,,,,50.5036,0.7319,
2011-01-27,82.16,83.159,82.025,82.163,82.163,0.0,,,,,,49.0053,0.7709,
2011-01-28,82.887,82.89,82.13,82.885,82.885,0.0,,,,,,58.8023,0.7699,
2011-01-31,82.097,82.231,81.93,82.089,82.089,0.0,,,,,,47.8806,0.787,
2011-02-01,82.087,82.133,81.47,82.07,82.07,0.0,,,,,,47.6531,0.7758,
2011-02-02,81.39,81.614,81.35,81.391,81.391,0.0,,,,,,40.2859,0.7708,
2011-02-03,81.494,82.044,81.494,81.493,81.493,0.0,,,,,,41.7429,0.7605,
2011-02-04,81.657,81.975,81.49,81.65,81.65,0.0,,,,,,44.0077,0.7369,
2011-02-07,82.22,82.458,82.15,82.22,82.22,0.0,,,,,,51.3952,0.7429,
2011-02-08,82.298,82.358,81.768,82.289,82.289,0.0,,,,,,52.2171,0.7301,
2011-02-09,82.27,82.649,82.249,82.303,82.303,0.0,,,,,,52.393,0.7028,
2011-02-10,82.4,83.269,82.36,82.419,82.419,0.0,,,,,,53.907,0.7243,
2011-02-11,83.34,83.662,83.23,83.34,83.34,0.0,81.271,82.4392,83.6074,2.8342,0.8855,63.7613,0.7663,0.0283
2011-02-14,83.42,83.487,83.099,83.444,83.444,0.0,81.401,82.5166,83.6321,2.7038,0.9157,64.6796,0.736,0.027
2011-02-15,83.4,83.908,83.193,83.413,83.413,0.0,81.46,82.5747,83.6894,2.6998,0.876,64.1577,0.7343,0.027
2011-02-16,83.72,83.955,83.58,83.716,83.716,0.0,81.4621,82.6306,83.7991,2.8282,0.9645,66.9636,0.7192,0.0283
2011-02-17,83.613,83.666,83.156,83.61,83.61,0.0,81.4401,82.6446,83.8491,2.9149,0.9007,65.0452,0.7067,0.0291
2011-02-18,83.287,83.494,83.207,83.29,83.29,0.0,81.4405,82.6443,83.8481,2.9132,0.7682,59.5033,0.6831,0.0291
2011-02-21,83.106,83.258,83.04,83.08,83.08,0.0,81.4399,82.646,83.852,2.9186,0.6799,56.1239,0.6497,0.0292
2011-02-22,83.069,83.401,82.786,83.066,83.066,0.0,81.4425,82.6578,83.8732,2.9406,0.6679,55.896,0.647,0.0294
2011-02-23,82.773,82.87,82.51,82.76,82.76,0.0,81.449,82.6385,83.828,2.8787,0.5511,51.0192,0.6401,0.0288
2011-02-24,82.45,82.45,81.649,82.438,82.438,0.0,81.4369,82.6174,83.7979,2.8578,0.424,46.4287,0.6758,0.0286
2011-02-25,82.02,82.023,81.65,82.047,82.047,0.0,81.397,82.5936,83.7902,2.8976,0.2716,41.5408,0.6843,0.029
