<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.05.09	00:05:00	1.05400	1.05425	1.05395	1.05407	34	0	52
2022.05.09	00:10:00	1.05407	1.05425	1.05403	1.05417	20	0	65
2022.05.09	00:15:00	1.05418	1.05424	1.05389	1.05420	37	0	13
2022.05.09	00:20:00	1.05390	1.05424	1.05385	1.05420	26	0	25
2022.05.09	00:25:00	1.05391	1.05421	1.05387	1.05399	32	0	32
2022.05.09	00:30:00	1.05409	1.05421	1.05381	1.05394	48	0	28
2022.05.09	00:35:00	1.05390	1.05421	1.05384	1.05404	28	0	21
2022.05.09	00:40:00	1.05415	1.05421	1.05369	1.05391	35	0	23
2022.05.09	00:45:00	1.05374	1.05401	1.05370	1.05401	34	0	17
2022.05.09	00:50:00	1.05395	1.05403	1.05365	1.05365	31	0	18
2022.05.09	00:55:00	1.05365	1.05411	1.05365	1.05410	30	0	26
2022.05.09	01:00:00	1.05375	1.05405	1.05361	1.05373	116	0	17
2022.05.09	01:05:00	1.05380	1.05381	1.05353	1.05369	104	0	8
2022.05.09	01:10:00	1.05369	1.05388	1.05364	1.05364	64	0	8
2022.05.09	01:15:00	1.05363	1.05379	1.05361	1.05377	111	0	17
2022.05.09	01:20:00	1.05377	1.05380	1.05360	1.05377	129	0	8
2022.05.09	01:25:00	1.05377	1.05394	1.05372	1.05382	83	0	8
2022.05.09	01:30:00	1.05382	1.05399	1.05379	1.05392	92	0	8
2022.05.09	01:35:00	1.05392	1.05392	1.05364	1.05375	53	0	8
2022.05.09	01:40:00	1.05375	1.05376	1.05360	1.05375	42	0	14
2022.05.09	01:45:00	1.05375	1.05379	1.05368	1.05373	113	0	15
2022.05.09	01:50:00	1.05373	1.05374	1.05362	1.05372	57	0	12
2022.05.09	01:55:00	1.05369	1.05382	1.05359	1.05369	119	0	14
2022.05.09	02:00:00	1.05370	1.05388	1.05355	1.05361	134	0	1
2022.05.09	02:05:00	1.05361	1.05380	1.05350	1.05355	223	0	1
2022.05.09	02:10:00	1.05354	1.05358	1.05345	1.05348	82	0	1
2022.05.09	02:15:00	1.05347	1.05353	1.05343	1.05347	67	0	1
2022.05.09	02:20:00	1.05346	1.05348	1.05305	1.05306	125	0	1
2022.05.09	02:25:00	1.05306	1.05346	1.05306	1.05328	115	0	1
2022.05.09	02:30:00	1.05328	1.05331	1.05311	1.05315	148	0	1
2022.05.09	02:35:00	1.05315	1.05334	1.05312	1.05330	123	0	1
2022.05.09	02:40:00	1.05330	1.05359	1.05319	1.05355	127	0	1
2022.05.09	02:45:00	1.05356	1.05388	1.05352	1.05360	245	0	1
2022.05.09	02:50:00	1.05360	1.05372	1.05338	1.05347	247	0	0
2022.05.09	02:55:00	1.05347	1.05347	1.05306	1.05322	177	0	1
2022.05.09	03:00:00	1.05323	1.05340	1.05303	1.05334	426	0	1
2022.05.09	03:05:00	1.05334	1.05356	1.05306	1.05315	289	0	1
2022.05.09	03:10:00	1.05317	1.05318	1.05293	1.05298	298	0	1
2022.05.09	03:15:00	1.05296	1.05324	1.05254	1.05256	384	0	1
2022.05.09	03:20:00	1.05256	1.05314	1.05255	1.05293	319	0	1
2022.05.09	03:25:00	1.05292	1.05320	1.05281	1.05314	244	0	1
2022.05.09	03:30:00	1.05315	1.05315	1.05262	1.05265	351	0	0
2022.05.09	03:35:00	1.05265	1.05284	1.05252	1.05259	457	0	1
2022.05.09	03:40:00	1.05259	1.05271	1.05248	1.05264	274	0	1
2022.05.09	03:45:00	1.05267	1.05292	1.05256	1.05269	280	0	1
2022.05.09	03:50:00	1.05267	1.05267	1.05212	1.05236	617	0	1
2022.05.09	03:55:00	1.05237	1.05243	1.05176	1.05190	534	0	1
2022.05.09	04:00:00	1.05190	1.05196	1.05136	1.05164	626	0	0
2022.05.09	04:05:00	1.05162	1.05248	1.05153	1.05197	416	0	0
2022.05.09	04:10:00	1.05197	1.05264	1.05185	1.05225	427	0	0
2022.05.09	04:15:00	1.05225	1.05245	1.05206	1.05224	320	0	0
2022.05.09	04:20:00	1.05226	1.05232	1.05176	1.05185	405	0	1
2022.05.09	04:25:00	1.05184	1.05201	1.05155	1.05155	300	0	1
2022.05.09	04:30:00	1.05155	1.05185	1.05151	1.05176	414	0	1
2022.05.09	04:35:00	1.05176	1.05183	1.05136	1.05156	277	0	1
2022.05.09	04:40:00	1.05156	1.05219	1.05156	1.05219	345	0	1
2022.05.09	04:45:00	1.05218	1.05242	1.05206	1.05217	214	0	1
2022.05.09	04:50:00	1.05217	1.05259	1.05206	1.05253	358	0	0
2022.05.09	04:55:00	1.05253	1.05268	1.05234	1.05242	220	0	0
2022.05.09	05:00:00	1.05242	1.05242	1.05193	1.05207	267	0	0
2022.05.09	05:05:00	1.05209	1.05216	1.05178	1.05202	343	0	1
2022.05.09	05:10:00	1.05200	1.05214	1.05148	1.05158	424	0	1
2022.05.09	05:15:00	1.05156	1.05180	1.05156	1.05159	323	0	1
2022.05.09	05:20:00	1.05161	1.05200	1.05153	1.05195	367	0	1
2022.05.09	05:25:00	1.05195	1.05204	1.05162	1.05180	316	0	1
2022.05.09	05:30:00	1.05180	1.05206	1.05156	1.05156	267	0	1
2022.05.09	05:35:00	1.05156	1.05163	1.05117	1.05124	255	0	1
2022.05.09	05:40:00	1.05124	1.05137	1.05079	1.05088	417	0	1
2022.05.09	05:45:00	1.05088	1.05103	1.05074	1.05090	249	0	1
2022.05.09	05:50:00	1.05089	1.05106	1.05082	1.05096	181	0	1
2022.05.09	05:55:00	1.05095	1.05113	1.05065	1.05067	224	0	1
2022.05.09	06:00:00	1.05067	1.05098	1.05059	1.05074	316	0	1
2022.05.09	06:05:00	1.05073	1.05132	1.05067	1.05110	442	0	1
2022.05.09	06:10:00	1.05109	1.05112	1.05065	1.05070	379	0	1
2022.05.09	06:15:00	1.05069	1.05074	1.05045	1.05052	298	0	1
2022.05.09	06:20:00	1.05052	1.05096	1.05045	1.05095	297	0	1
2022.05.09	06:25:00	1.05095	1.05104	1.05083	1.05088	192	0	1
2022.05.09	06:30:00	1.05088	1.05122	1.05088	1.05122	208	0	1
2022.05.09	06:35:00	1.05121	1.05129	1.05088	1.05093	144	0	0
2022.05.09	06:40:00	1.05093	1.05099	1.05076	1.05082	108	0	0
2022.05.09	06:45:00	1.05082	1.05084	1.05033	1.05036	223	0	1
2022.05.09	06:50:00	1.05034	1.05092	1.05025	1.05077	259	0	1
2022.05.09	06:55:00	1.05077	1.05103	1.05066	1.05099	163	0	1
2022.05.09	07:00:00	1.05099	1.05129	1.05094	1.05105	212	0	0
2022.05.09	07:05:00	1.05106	1.05109	1.05088	1.05088	111	0	0
2022.05.09	07:10:00	1.05088	1.05092	1.05054	1.05077	243	0	0
2022.05.09	07:15:00	1.05079	1.05111	1.05056	1.05105	163	0	0
