oTime,o,h,l,c,v
2019-08-03T09:00:00,9698.0,9699.0,9697.0,9698.0,1188
2019-08-03T09:30:00,9520.0,9697.0,9520.0,9695.0,7650
2019-08-03T10:00:00,9650.0,9650.0,9610.0,9610.0,3858
2019-08-03T10:30:00,9610.0,9610.0,9580.0,9580.0,22000
2019-08-03T11:00:00,9580.0,9580.0,9580.0,9580.0,730
2019-08-03T11:30:00,9580.0,9693.0,9580.0,9693.0,11800
2019-08-03T12:00:00,9693.0,9698.0,9680.0,9698.0,19070
2019-08-04T10:30:00,9700.0,9720.0,9653.0,9653.0,9000
2019-08-04T11:00:00,9652.0,9652.0,9609.0,9611.0,10609
2019-08-04T11:30:00,9699.0,9720.0,9690.0,9690.0,52120
2019-08-04T12:00:00,9720.0,9800.0,9690.0,9800.0,74578
2019-08-05T09:00:00,9980.0,9980.0,9866.0,9980.0,1238
2019-08-05T09:30:00,9979.0,9979.0,9978.0,9979.0,820
2019-08-05T10:00:00,9930.0,9979.0,9860.0,9979.0,12530
2019-08-05T10:30:00,9979.0,9979.0,9978.0,9978.0,1010
2019-08-05T11:00:00,9976.0,9976.0,9880.0,9880.0,8523
2019-08-05T11:30:00,9885.0,9888.0,9885.0,9888.0,27973
2019-08-05T12:00:00,9900.0,9900.0,9885.0,9890.0,141143
2019-08-06T11:30:00,9932.0,9933.0,9867.0,9932.0,4095
2019-08-06T12:00:00,9867.0,9868.0,9840.0,9840.0,10946
2019-08-10T10:30:00,9800.0,9876.0,9800.0,9800.0,14350
2019-08-10T11:00:00,9800.0,9870.0,9800.0,9800.0,2917
2019-08-10T11:30:00,9800.0,9850.0,9800.0,9850.0,6875
2019-08-10T12:00:00,9800.0,9850.0,9800.0,9830.0,3205
2019-08-11T09:00:00,9501.0,9821.0,9501.0,9821.0,36200
2019-08-11T09:30:00,9821.0,9889.0,9821.0,9821.0,12369
2019-08-11T10:00:00,9886.0,9886.0,9821.0,9821.0,2451
2019-08-11T10:30:00,9880.0,9884.0,9879.0,9880.0,65500
2019-08-11T11:00:00,9880.0,9880.0,9821.0,9880.0,5520
2019-08-11T11:30:00,9870.0,9870.0,9870.0,9870.0,200
2019-08-11T12:00:00,9821.0,9879.0,9807.0,9879.0,56845
2019-08-13T10:00:00,9801.0,9801.0,9801.0,9801.0,150
2019-08-13T10:30:00,9810.0,9890.0,9810.0,9890.0,417290
2019-08-13T11:00:00,9801.0,9801.0,9800.0,9800.0,31500
2019-08-13T11:30:00,9841.0,9886.0,9841.0,9854.0,4997
2019-08-13T12:00:00,9854.0,9896.0,9836.0,9896.0,1780
2019-08-14T09:00:00,9802.0,9880.0,9801.0,9880.0,43258
2019-08-14T09:30:00,9880.0,9880.0,9868.0,9880.0,18295
2019-08-14T10:00:00,9867.0,9900.0,9865.0,9900.0,133492
2019-08-14T10:30:00,9898.0,9898.0,9896.0,9896.0,2000
2019-08-14T11:00:00,9895.0,9895.0,9890.0,9894.0,5815
2019-08-14T11:30:00,9894.0,9894.0,9880.0,9880.0,100082
2019-08-14T12:00:00,9880.0,9950.0,9880.0,9950.0,89815
2019-08-17T09:30:00,9870.0,9870.0,9865.0,9865.0,6703
2019-08-17T10:00:00,9889.0,9998.0,9870.0,9985.0,79500
2019-08-17T10:30:00,9925.0,9985.0,9925.0,9959.0,4500
2019-08-17T11:00:00,9959.0,9978.0,9885.0,9969.0,17096
2019-08-17T11:30:00,9969.0,9970.0,9867.0,9970.0,4987
2019-08-17T12:00:00,9960.0,9960.0,9870.0,9960.0,15200
2019-08-18T09:00:00,9912.0,9950.0,9912.0,9950.0,3450
2019-08-18T09:30:00,9947.0,9948.0,9900.0,9900.0,22730
2019-08-18T10:00:00,9890.0,9940.0,9880.0,9880.0,6618
2019-08-18T10:30:00,9929.0,9955.0,9929.0,9940.0,149501
2019-08-18T11:00:00,9930.0,9930.0,9915.0,9915.0,2350
2019-08-18T11:30:00,9912.0,9915.0,9881.0,9915.0,1075
2019-08-18T12:00:00,9924.0,9949.0,9924.0,9949.0,5000
2019-08-19T12:00:00,9960.0,9970.0,9941.0,9950.0,166892
2019-08-21T09:00:00,9969.0,9989.0,9957.0,9971.0,25794
2019-08-21T09:30:00,9972.0,10040.0,9972.0,10040.0,71525
2019-08-21T10:00:00,10035.0,10040.0,10030.0,10040.0,8776
2019-08-21T10:30:00,10035.0,10035.0,10030.0,10030.0,144974
2019-08-21T11:00:00,10030.0,10043.0,10030.0,10034.0,47521
2019-08-21T11:30:00,10034.0,10034.0,10030.0,10031.0,2901
2019-08-21T12:00:00,10030.0,10036.0,10000.0,10036.0,8269
2019-08-24T09:00:00,10030.0,10030.0,10020.0,10020.0,4620
2019-08-24T09:30:00,10055.0,10055.0,10023.0,10033.0,5018
2019-08-24T10:00:00,10030.0,10060.0,10030.0,10050.0,62604
2019-08-24T10:30:00,10050.0,10050.0,10023.0,10028.0,55386
2019-08-24T11:00:00,10030.0,10047.0,10028.0,10047.0,20166
2019-08-24T11:30:00,10040.0,10065.0,10040.0,10063.0,89638
2019-08-24T12:00:00,10062.0,10100.0,10058.0,10098.0,149154
2019-08-25T10:00:00,10089.0,10089.0,10085.0,10085.0,2600
2019-08-25T10:30:00,10043.0,10093.0,10023.0,10080.0,6946
2019-08-25T11:00:00,10080.0,10093.0,10080.0,10093.0,16541
2019-08-25T11:30:00,10093.0,10093.0,10085.0,10093.0,28775
2019-08-25T12:00:00,10095.0,10109.0,10093.0,10093.0,22600
2019-08-25T12:30:00,10242.0,10242.0,10242.0,10242.0,2220
2019-08-27T09:00:00,10590.0,10590.0,10590.0,10590.0,250
2019-08-27T09:30:00,10590.0,10598.0,10500.0,10598.0,44761
2019-08-27T10:00:00,10597.0,10600.0,10597.0,10600.0,11675
2019-08-27T10:30:00,10600.0,10659.0,10600.0,10659.0,8560
2019-08-27T11:00:00,10663.0,10754.0,10663.0,10754.0,57421
2019-08-27T11:30:00,10754.0,10755.0,10700.0,10705.0,51942
2019-08-27T12:00:00,10705.0,10705.0,10600.0,10610.0,54996
2019-08-28T09:00:00,10755.0,10755.0,10639.0,10650.0,112036
2019-08-28T09:30:00,10650.0,10690.0,10650.0,10690.0,12620
2019-08-28T10:00:00,10698.0,10698.0,10660.0,10698.0,33318
2019-08-28T10:30:00,10660.0,10704.0,10660.0,10704.0,27895
2019-08-28T11:00:00,10700.0,10704.0,10700.0,10703.0,4892
